"title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score"
"Sam Kinison: The Scream Continues","MOVIE",2016,NA,29,"['documentation']","US",6.1,39,0.632,7
"Gang of the Caribbean","MOVIE",2016,NA,90,"['thriller', 'european']","FR",5.1,299,3.637,4.8
"Kiss of Life","MOVIE",2015,"G",102,"['romance', 'comedy', 'drama']","TR",5.9,1248,1.511,4.3
"Souk Bazaar","MOVIE",2015,"PG",97,"['comedy']","TR",5.2,1900,1.672,5.1
"Everything About Her","MOVIE",2016,NA,126,"['drama', 'comedy']","PH",7.2,332,2.11,8.1
"The Creative Indians","SHOW",2016,"TV-MA",29,"['documentation']","US",8.3,45,0.6,9
"Saudi Arabia Uncovered","MOVIE",2016,NA,51,"['documentation']","SA",NA,NA,1.781,6.5
"Road To High & Low","MOVIE",2016,NA,95,"['action', 'drama']","JP",6.6,185,4.102,6
"Back to 1989","SHOW",2016,"TV-14",44,"['scifi', 'drama']","TW",8,115,0.688,8.4
"The Arbitration","MOVIE",2016,NA,100,"['drama', 'comedy']","NG",5,124,1.811,6.9
"The Last Egg","MOVIE",2016,NA,95,"['comedy', 'romance', 'drama']","VN",4.8,101,1.02,6
"Jandino: Whatever it Takes","MOVIE",2016,NA,94,"['comedy']","GLOBAL",4.5,30,1.4,5
"Gbomo Gbomo Express","MOVIE",2015,NA,96,"['drama', 'crime']","NG",5,50,0.714,5
"Janoskians: Untold and Untrue","MOVIE",2015,NA,88,"['comedy']","US",3.7,161,1.889,5.1
"The Dream Job","SHOW",2016,"TV-14",44,"['drama', 'family']","SG",6.1,14,0.6,NA
"Crazy Beautiful You","MOVIE",2015,NA,115,"['drama', 'romance', 'comedy']","PH",7,853,2.393,7
"Tariqi: My Way","SHOW",2015,"TV-14",41,"['drama', 'music']","US",7.1,148,NA,NA
"Mind Game","SHOW",2015,"TV-14",44,"['action', 'crime', 'drama']","GLOBAL",7.5,12,NA,NA
"Snervous Tyler Oakley","MOVIE",2015,"PG-13",82,"['documentation']","US",5.4,473,2.707,5.7
"Sommore: The Reign Continues","MOVIE",2015,"R",92,"['comedy']","US",7,79,0.956,7
"Hajwala: The Missing Engine","MOVIE",2016,"R",96,"['drama', 'action', 'crime', 'sport', 'thriller']","AE",2,255,1.389,6.2
"Just the Way You Are","MOVIE",2015,NA,107,"['comedy', 'drama', 'romance']","PH",6.3,511,2.177,7.6
"Dedemin Fişi","MOVIE",2016,"PG",100,"['comedy', 'family']","TR",5.5,3524,3.847,5.8
"The Unmarried Wife","MOVIE",2016,NA,130,"['drama', 'romance']","PH",5.9,189,1.812,6.5
"Bibik Bibikku","SHOW",2016,"TV-PG",40,"['drama', 'comedy']","MY",NA,NA,1.674,NA
"My Stupid Boss","MOVIE",2016,NA,106,"['comedy', 'drama']","ID",7.1,1536,2.471,6.9
"The Third Party","MOVIE",2016,NA,118,"['comedy', 'romance']","PH",6.1,275,2.802,5.6
"Ojukokoro (Greed)","MOVIE",2016,NA,112,"['thriller', 'comedy', 'crime']","NG",6.6,63,0.954,5.5
"Lakeeran","MOVIE",2016,NA,113,"['drama']","IN",6.3,34,0.712,NA
"Time Out","MOVIE",2015,NA,98,"['drama', 'animation', 'family', 'music']","IN",6,414,1.167,7.2
"Derry Girls","SHOW",2018,"TV-MA",27,"['comedy']","GB",8.4,34026,16.567,8.1
"The Sinner","SHOW",2017,"TV-MA",45,"['crime', 'drama', 'thriller']","US",7.9,118746,51.938,7.5
"Leave No Trace","MOVIE",2018,"PG",109,"['drama']","GLOBAL",7.1,58727,14.795,6.8
"Ozark","SHOW",2017,"TV-MA",60,"['drama', 'crime', 'thriller']","US",8.5,300454,146.805,8.245
"Blade Runner 2049","MOVIE",2017,"R",164,"['scifi', 'action', 'drama', 'thriller']","GLOBAL",8,549712,67.788,7.5
"Dark","SHOW",2017,"TV-MA",56,"['scifi', 'crime', 'drama', 'thriller']","DE",8.7,363469,164.601,8.4
"12 Strong","MOVIE",2018,"R",131,"['drama', 'action', 'war', 'history']","US",6.5,79980,67.199,6.2
"It","MOVIE",2017,"R",135,"['horror', 'fantasy', 'thriller']","US",7.3,527626,95.827,7.234
"Legacies","SHOW",2018,"TV-14",41,"['drama', 'scifi', 'fantasy', 'horror']","US",7.2,30634,230.337,8.5
"Manifest","SHOW",2018,"TV-14",42,"['drama', 'thriller', 'scifi']","US",7.1,53185,145.572,7.7
"Riverdale","SHOW",2017,"TV-14",42,"['crime', 'drama', 'thriller', 'romance']","US",6.6,141250,341.862,8.531
"Wind River","MOVIE",2017,"R",107,"['thriller', 'crime', 'drama', 'western']","GLOBAL",7.7,244463,26.743,7.427
"Sorry to Bother You","MOVIE",2018,"R",111,"['scifi', 'fantasy', 'comedy', 'drama']","US",6.9,77407,10.334,6.8
"Dunkirk","MOVIE",2017,"PG-13",107,"['drama', 'war', 'action', 'thriller', 'history', 'european']","GLOBAL",7.8,619645,36.684,7.5
"Cobra Kai","SHOW",2018,"TV-14",31,"['action', 'drama', 'sport', 'comedy']","US",8.5,166830,331.306,8.167
"Vice","MOVIE",2018,"R",132,"['comedy', 'drama', 'documentation']","US",7.2,139439,16.962,7.059
"Mindhunter","SHOW",2017,"TV-MA",53,"['drama', 'crime', 'thriller']","US",8.6,261429,37.904,8
"Phantom Thread","MOVIE",2017,"R",130,"['drama', 'romance']","GLOBAL",7.4,130006,14.833,7.3
"Money Heist","SHOW",2017,"TV-MA",49,"['thriller', 'action', 'crime', 'drama', 'european']","ES",8.2,461688,1.4,NA
"All American","SHOW",2018,"TV-14",42,"['drama', 'sport']","US",7.6,9704,33.102,8.272
"You","SHOW",2018,"TV-MA",47,"['crime', 'drama', 'thriller', 'romance']","US",7.7,230119,85.558,8.1
"Molly's Game","MOVIE",2017,"R",140,"['drama', 'crime', 'sport']","GLOBAL",7.4,167955,25.929,7.147
"Den of Thieves","MOVIE",2018,"R",140,"['thriller', 'crime', 'drama', 'action']","US",7,110108,47.326,6.7
"Lost in Space","SHOW",2018,"TV-PG",49,"['drama', 'scifi', 'action', 'thriller', 'family']","US",7.3,98084,55.052,7.654
"Bodyguard","SHOW",2018,"TV-MA",60,"['war', 'drama', 'thriller', 'crime', 'european']","GB",8.1,118124,19.085,7.9
"Rise of the Teenage Mutant Ninja Turtles","SHOW",2018,"TV-Y7",17,"['action', 'comedy', 'drama', 'scifi', 'family', 'fantasy', 'animation']","US",4.9,3153,17.577,6.4
"American Vandal","SHOW",2017,"TV-MA",33,"['crime', 'comedy', 'drama']","US",8.1,30399,17.642,7.6
"Godless","SHOW",2017,"TV-MA",65,"['drama', 'western', 'documentation', 'action', 'crime']","US",7.6,27,16.273,7.754
"Somebody Feed Phil","SHOW",2018,"TV-14",52,"['documentation']","US",8.2,4850,9.24,7.4
"Manhunt","SHOW",2017,"TV-14",43,"['crime', 'drama', 'thriller']","US",8.1,58120,18.55,7.7
"The Haunting of Hill House","SHOW",2018,"TV-MA",58,"['thriller', 'drama', 'horror']","US",8.6,231950,50.336,8.1
"CHiPS","MOVIE",2017,"R",100,"['action', 'comedy', 'crime']","US",6,46783,34.887,6.1
"The Ballad of Buster Scruggs","MOVIE",2018,"R",132,"['western', 'comedy', 'drama', 'romance']","US",7.3,144294,32.555,7.145
"Babylon Berlin","SHOW",2017,"TV-MA",49,"['drama', 'thriller', 'crime', 'history', 'european']","DE",8.4,23638,33.053,7.9
"Altered Carbon","SHOW",2018,"TV-MA",52,"['scifi', 'thriller', 'action', 'drama']","US",7.9,164872,52.901,7.8
"Castlevania","SHOW",2017,"TV-MA",26,"['animation', 'drama', 'fantasy', 'horror', 'action']","US",8.3,62722,50.499,8.3
"Dirty John","SHOW",2018,"TV-MA",44,"['crime', 'drama']","US",7.2,21280,15.079,7.3
"Darkest Hour","MOVIE",2017,"PG-13",125,"['drama', 'history', 'war', 'thriller', 'family']","GB",7.4,193208,21.927,7.351
"Dynasty","SHOW",2017,"TV-14",42,"['drama']","US",7.2,21637,49.457,8.2
"Won't You Be My Neighbor?","MOVIE",2018,"PG-13",95,"['documentation']","US",8.4,25061,8.47,8.1
"Good Girls","SHOW",2018,"TV-14",42,"['drama', 'crime', 'comedy']","US",7.7,50919,33.403,8.1
"HAPPY!","SHOW",2017,"TV-MA",43,"['scifi', 'action', 'comedy', 'crime', 'fantasy', 'thriller']","US",8.1,38172,13.215,7.5
"Wet Hot American Summer: Ten Years Later","SHOW",2017,"TV-MA",27,"['comedy']","US",6.9,8639,8.032,6.6
"Workin' Moms","SHOW",2017,"TV-MA",23,"['comedy', 'drama']","CA",7.7,16488,23.833,7.9
"Maniac","SHOW",2018,"TV-MA",39,"['scifi', 'comedy', 'drama']","US",7.7,77069,14.064,7.4
"Wild Wild Country","SHOW",2018,"TV-MA",67,"['crime', 'documentation']","US",8.1,29939,9.646,7.95
"The Ritual","MOVIE",2017,"R",94,"['thriller', 'horror']","GLOBAL",6.3,95551,24.321,6.2
"Anne with an E","SHOW",2017,"TV-G",46,"['drama', 'family']","CA",8.7,52756,150.37,8.8
"Okja","MOVIE",2017,"PG-13",122,"['scifi', 'fantasy', 'action', 'drama']","GLOBAL",7.3,116305,25.911,7.415
"The End of the F***ing World","SHOW",2017,"TV-MA",21,"['drama', 'comedy', 'romance', 'thriller', 'crime']","GB",8.1,182217,50.694,8.2
"Trolls: The Beat Goes On!","SHOW",2018,"TV-G",20,"['comedy', 'animation', 'family', 'fantasy', 'romance']","US",5.8,806,21.406,8.6
"Atypical","SHOW",2017,"TV-14",31,"['comedy', 'drama']","US",8.3,81643,37.513,8.3
"Final Score","MOVIE",2018,"R",104,"['action', 'drama', 'thriller']","GLOBAL",5.7,11967,17.411,6.1
"A Series of Unfortunate Events","SHOW",2017,"TV-PG",47,"['drama', 'action', 'comedy', 'family']","US",7.8,59959,55.144,7.345
"Charmed","SHOW",2018,"TV-14",40,"['drama', 'scifi', 'fantasy']","US",4.6,16533,92.694,7.427
"Rumble: The Indians Who Rocked the World","MOVIE",2017,NA,103,"['music', 'documentation']","CA",7.7,830,1.771,8.2
"The Nightingale","MOVIE",2018,"R",136,"['thriller', 'drama', 'horror']","AU",7.3,29758,25.696,7.2
"Alias Grace","SHOW",2017,"TV-MA",44,"['drama', 'crime', 'history', 'thriller']","CA",7.7,32177,13.586,7.3
"Cold Case Files","SHOW",2017,"TV-14",42,"['crime', 'documentation']","US",7.9,1292,2.879,8
"One Day at a Time","SHOW",2017,"TV-PG",28,"['comedy', 'drama']","US",8.1,16167,17.017,8.1
"Forgotten","MOVIE",2017,NA,109,"['thriller', 'horror', 'scifi']","KR",7.4,31208,33.53,8
"Backtrace","MOVIE",2018,"R",92,"['crime', 'action', 'drama', 'thriller']","GLOBAL",3.8,4453,19.984,5.4
"The Bureau of Magical Things","SHOW",2018,"TV-G",24,"['scifi', 'family', 'fantasy', 'drama']","AU",6.7,2152,20.189,7.5
"Santa Clarita Diet","SHOW",2017,"TV-MA",29,"['comedy', 'horror']","US",7.8,66326,19.982,7.5
"Safe","SHOW",2018,"TV-MA",45,"['drama', 'thriller', 'crime', 'european']","GB",7.2,42239,9.531,6.9
"Stranger","SHOW",2017,"TV-MA",64,"['crime', 'drama', 'thriller', 'romance', 'scifi', 'comedy']","KR",8.5,8066,25.007,8.5
"Set It Up","MOVIE",2018,"R",105,"['romance', 'comedy']","US",6.5,51861,18.364,6.9
"Crooked House","MOVIE",2017,"PG-13",115,"['drama', 'thriller', 'crime']","GB",6.3,24033,10.188,6.4
"The Cloverfield Paradox","MOVIE",2018,"PG-13",102,"['horror', 'thriller', 'scifi', 'drama', 'action']","US",5.5,104068,21.122,5.6
"What Happened to Monday","MOVIE",2017,"R",123,"['scifi', 'thriller', 'drama', 'action', 'crime', 'fantasy']","GLOBAL",6.8,121772,60.669,7.2
"Cocomelon","SHOW",2018,"TV-PG",6,"['animation', 'comedy', 'family']","GLOBAL",4.7,570,3.372,7.1
"Gerald's Game","MOVIE",2017,NA,104,"['horror', 'thriller', 'drama']","US",6.5,106451,21.014,6.4
"Roma","MOVIE",2018,"R",135,"['drama', 'european']","GLOBAL",7.7,155787,12.745,7.7
"Adrift","MOVIE",2018,"PG-13",96,"['action', 'thriller', 'romance', 'drama', 'european']","GLOBAL",6.6,55597,17.991,6.9
"The Beguiled","MOVIE",2017,"R",93,"['drama', 'documentation', 'thriller', 'war']","US",6.8,21,26.24,5.9
"Disenchantment","SHOW",2018,"TV-14",28,"['scifi', 'comedy', 'fantasy', 'animation', 'action']","US",7.2,59907,49.462,7.561
"Big Mouth","SHOW",2017,"TV-MA",27,"['comedy', 'animation', 'romance']","US",7.9,76088,61.436,7.9
"Ghostland","MOVIE",2018,"R",91,"['thriller', 'horror', 'drama', 'european']","GLOBAL",6.4,31379,34.263,7.4
"Knightfall","SHOW",2017,"TV-14",44,"['action', 'drama', 'history']","US",6.7,20112,28.09,7
"GLOW","SHOW",2017,"TV-MA",34,"['drama', 'comedy', 'sport', 'reality']","US",8,45533,17.486,7.4
"The Bad Batch","MOVIE",2017,"R",119,"['drama', 'horror', 'scifi', 'romance', 'action']","US",5.2,31275,18.249,5.3
"Oats Studios","SHOW",2017,"TV-MA",12,"['scifi', 'horror']","US",6.4,1512,8.612,8
"Tully","MOVIE",2018,"R",96,"['comedy', 'drama']","GLOBAL",7,57576,13.592,6.8
"Watership Down","SHOW",2018,"TV-PG",50,"['animation', 'family', 'fantasy', 'action', 'drama']","GB",7.2,6175,10,6.9
"The Guernsey Literary & Potato Peel Pie Society","MOVIE",2018,NA,124,"['drama', 'history', 'romance', 'war']","GLOBAL",7.3,45626,12.645,7.5
"BAKI","SHOW",2018,"TV-MA",24,"['drama', 'animation', 'action', 'crime', 'sport']","JP",6.7,6041,207.49,8.1
"The Foreigner","MOVIE",2017,"R",113,"['action', 'thriller', 'crime', 'drama', 'european']","GLOBAL",7,113338,32.05,6.8
"Can't Stop, Won't Stop: A Bad Boy Story","MOVIE",2017,"R",80,"['music', 'documentation']","US",5.3,735,4.174,6.4
"Outlaw King","MOVIE",2018,"R",121,"['action', 'drama', 'history', 'war']","GLOBAL",6.9,70822,24.14,6.8
"Destination Wedding","MOVIE",2018,"R",90,"['drama', 'romance', 'comedy']","US",6,29546,19.069,5.7
"The Kominsky Method","SHOW",2018,"TV-MA",26,"['drama', 'comedy']","US",8.2,38900,18.106,7.6
"Black Spot","SHOW",2017,"TV-MA",55,"['drama', 'crime', 'thriller', 'horror', 'european']","GLOBAL",7.4,11068,17.457,7
"Elite","SHOW",2018,"TV-MA",48,"['thriller', 'drama', 'crime']","ES",7.4,75337,224.739,8.1
"The Keepers","SHOW",2017,"TV-MA",56,"['documentation', 'thriller', 'crime', 'action', 'drama']","US",8.2,14,8.556,7.5
"13 Reasons Why","SHOW",2017,"TV-MA",58,"['drama', 'thriller']","US",7.5,286015,80.574,7.748
"Bird Box","MOVIE",2018,"R",124,"['thriller', 'drama', 'scifi', 'horror']","US",6.6,331070,47.18,6.9
"The Babysitter","MOVIE",2017,"R",85,"['comedy', 'horror']","US",6.4,86953,52.287,6.102
"Imposters","SHOW",2017,"TV-14",43,"['drama', 'thriller', 'comedy', 'crime']","US",7.8,13529,17.273,7.3
"Teasing Master Takagi-san","SHOW",2018,"TV-PG",24,"['animation', 'romance', 'comedy']","JP",7.7,2153,49.106,8.274
"Narcos: Mexico","SHOW",2018,"TV-MA",58,"['drama', 'crime']","US",8.4,82042,92.102,7.9
"Black Lightning","SHOW",2018,"TV-14",41,"['action', 'scifi', 'drama']","US",6.1,24646,45.271,7.2
"Salt Fat Acid Heat","SHOW",2018,NA,43,"['documentation']","US",7.7,2447,4.037,8.3
"The Package","MOVIE",2018,"R",94,"['comedy', 'drama', 'thriller']","US",5.5,17858,20.72,6
"Replicas","MOVIE",2018,"PG-13",94,"['scifi', 'thriller', 'drama']","GLOBAL",5.5,37340,27.644,6.1
"Cam","MOVIE",2018,NA,95,"['thriller', 'horror', 'drama']","US",5.9,31542,12.204,5.8
"Mystery Science Theater 3000","SHOW",2017,"TV-14",86,"['scifi', 'comedy', 'drama', 'horror', 'thriller']","US",8.1,3656,3.279,8
"Deadwind","SHOW",2018,"TV-MA",46,"['crime', 'drama', 'thriller']","FI",7.2,9068,18.234,6.6
"My Next Guest Needs No Introduction With David Letterman","SHOW",2018,"TV-MA",50,"[]","US",7.8,5581,8.217,7.6
"Seven Seconds","SHOW",2018,"TV-MA",62,"['crime', 'drama']","US",7.7,15323,9.766,7.4
"Queer Eye","SHOW",2018,"TV-14",47,"['reality']","US",8.5,18710,15.751,7.8
"Violet Evergarden","SHOW",2018,"TV-14",25,"['animation', 'scifi', 'drama', 'fantasy', 'romance']","JP",8.4,20919,43.782,8.674
"Rascal Does Not Dream of Bunny Girl Senpai","SHOW",2018,"TV-14",25,"['comedy', 'thriller', 'animation', 'fantasy', 'romance', 'drama']","JP",8.1,11117,61.635,8.8
"Level 16","MOVIE",2018,NA,102,"['scifi', 'thriller', 'drama', 'european']","CA",6,11823,69.48,6.8
"Abducted in Plain Sight","MOVIE",2018,NA,91,"['crime', 'documentation', 'thriller', 'drama']","US",6.8,18165,9.689,6.4
"The Meyerowitz Stories (New and Selected)","MOVIE",2017,NA,112,"['comedy', 'drama']","US",6.9,48223,12.045,6.5
"James Acaster: Repertoire","SHOW",2018,"TV-14",52,"['comedy']","GB",8.4,3686,2.462,8.4
"I Don't Feel at Home in This World Anymore","MOVIE",2017,NA,93,"['drama', 'thriller', 'crime', 'comedy', 'european']","US",6.9,55549,12.544,6.5
"Step Sisters","MOVIE",2018,"PG-13",104,"['comedy']","US",5.4,4496,9.814,6.5
"Devilman Crybaby","SHOW",2018,"TV-MA",25,"['animation', 'action', 'scifi', 'drama', 'fantasy', 'horror']","JP",7.6,19465,37.228,7.887
"The Shack","MOVIE",2017,"PG-13",132,"['drama', 'fantasy']","US",6.2,35748,110.758,7.5
"Hilda","SHOW",2018,"TV-Y7",25,"['animation', 'family', 'scifi', 'drama', 'fantasy', 'comedy']","GB",8.5,10283,18.535,8.3
"Calibre","MOVIE",2018,NA,101,"['thriller', 'drama']","GB",6.8,28788,9.761,6.5
"Apostle","MOVIE",2018,"R",130,"['thriller', 'drama', 'horror', 'fantasy']","GLOBAL",6.3,51890,14.414,6.1
"Beirut","MOVIE",2018,"R",110,"['thriller', 'drama', 'action', 'crime']","US",6.4,22065,10.945,6.3
"To All the Boys I've Loved Before","MOVIE",2018,"PG-13",100,"['comedy', 'romance', 'drama']","US",7.1,101175,83.421,7.7
"Collateral","SHOW",2018,"TV-MA",57,"['thriller', 'drama', 'crime']","GB",6.7,17774,23.364,6.4
"Cells at Work!","SHOW",2018,"TV-14",23,"['comedy', 'animation', 'action', 'fantasy']","JP",7.5,2270,16.706,8.3
"My Little Pony: Equestria Girls","SHOW",2017,"TV-Y",22,"['animation', 'comedy', 'family', 'fantasy']","US",6.5,661,11.9,8.1
"The Dragon Prince","SHOW",2018,"TV-Y7",27,"['action', 'scifi', 'animation', 'family', 'fantasy', 'thriller', 'drama']","US",8.4,22187,31.275,8.3
"Mirai","MOVIE",2018,"PG",94,"['fantasy', 'animation', 'drama', 'family']","JP",7,14983,52.562,7.2
"Rust Valley Restorers","SHOW",2018,"TV-14",50,"['documentation']","CA",7.7,2848,12.127,8.1
"Bāhubali 2: The Conclusion","MOVIE",2017,NA,168,"['fantasy', 'drama', 'action']","IN",8.2,94421,38.877,7.3
"Berlin Syndrome","MOVIE",2017,"R",116,"['horror', 'thriller', 'drama']","AU",6.2,25149,15.339,6
"Icarus","MOVIE",2017,NA,121,"['documentation', 'thriller', 'sport']","US",7.9,49269,9.623,7.7
"Five Came Back","SHOW",2017,"TV-MA",65,"['war', 'documentation', 'history']","US",8.3,4671,5.86,7.7
"She-Ra and the Princesses of Power","SHOW",2018,"TV-Y7",24,"['scifi', 'animation', 'comedy', 'fantasy', 'family', 'action', 'drama']","US",7.8,15584,26.73,8.8
"The Kindergarten Teacher","MOVIE",2018,"R",96,"['drama', 'thriller', 'european']","US",6.7,15974,15.809,6.6
"Chilling Adventures of Sabrina","SHOW",2018,"TV-14",57,"['thriller', 'scifi', 'drama', 'fantasy', 'horror']","US",7.4,91958,80.61,8.306
"1922","MOVIE",2017,NA,101,"['horror', 'drama', 'documentation', 'crime', 'thriller']","US",6.2,62508,17.275,5.9
"Veronica","MOVIE",2017,"R",105,"['horror']","ES",6.2,41284,55.175,6.2
"Little Italy","MOVIE",2018,"R",102,"['romance', 'comedy']","GLOBAL",5.7,14829,15.703,6.8
"Hold the Dark","MOVIE",2018,NA,126,"['thriller', 'crime', 'horror', 'action', 'drama']","US",5.6,36928,16.591,5.318
"Mute","MOVIE",2018,"R",126,"['scifi', 'thriller', 'drama']","GLOBAL",5.4,35158,15.734,5.6
"The Perfection","MOVIE",2018,NA,90,"['horror', 'thriller', 'drama', 'music']","US",6.1,42403,12.684,6.5
"Red Joan","MOVIE",2018,"R",101,"['thriller', 'history', 'romance', 'drama']","GB",6.4,12452,13.425,6.7
"Bright","MOVIE",2017,"R",117,"['fantasy', 'thriller', 'scifi', 'crime', 'action']","US",6.3,185996,36.593,6.2
"Evil Genius","SHOW",2018,"TV-MA",48,"['documentation', 'crime']","US",7.5,27987,9.635,7.5
"Everything Sucks!","SHOW",2018,"TV-14",24,"['drama', 'comedy']","US",7.5,18621,17.251,7.8
"Kodachrome","MOVIE",2017,NA,105,"['drama', 'comedy', 'european']","US",6.8,16821,8.641,6.8
"The Discovery","MOVIE",2017,NA,102,"['scifi', 'thriller', 'romance', 'drama']","US",6.2,34092,11.237,6.3
"Nightflyers","SHOW",2018,"TV-MA",44,"['scifi', 'thriller', 'drama', 'horror']","US",5.8,13222,10.291,5.6
"Dark Tourist","SHOW",2018,"TV-MA",41,"['action', 'documentation']","NZ",7.5,7233,6.668,6.5
"Extinction","MOVIE",2018,"R",96,"['scifi', 'thriller', 'action', 'drama']","US",5.8,52635,28.029,6.009
"The Book of Henry","MOVIE",2017,"PG-13",106,"['drama', 'thriller', 'crime']","US",6.5,27262,17.456,7.5
"Creep 2","MOVIE",2017,"R",80,"['thriller', 'horror', 'crime', 'drama']","US",6.4,25671,14.489,6.322
"Speed Kills","MOVIE",2018,"R",102,"['thriller', 'crime', 'drama', 'action']","GLOBAL",4.2,3244,14.407,5.6
"Black Mirror: Bandersnatch","MOVIE",2018,"R",90,"['drama', 'thriller', 'scifi', 'fantasy']","GLOBAL",7.1,125229,17.397,6.8
"The Night Comes for Us","MOVIE",2018,"R",121,"['action', 'thriller', 'crime']","ID",6.9,25839,12.473,6.8
"Cargo","MOVIE",2017,NA,105,"['drama', 'thriller', 'scifi', 'horror']","AU",6.3,43232,18.142,6.4
"Pine Gap","SHOW",2018,"TV-MA",56,"['drama', 'thriller']","AU",7.1,5007,10.479,7.3
"When We First Met","MOVIE",2018,"PG-13",97,"['fantasy', 'comedy', 'romance']","US",6.4,48885,15.879,6.6
"Dear White People","SHOW",2017,"TV-MA",30,"['comedy', 'drama']","US",6.1,25232,16.376,6.4
"Mudbound","MOVIE",2017,"R",135,"['drama', 'war']","US",7.4,47676,9.749,7.4
"Troy: Fall of a City","SHOW",2018,"TV-MA",58,"['action', 'war', 'fantasy', 'romance']","GB",3.9,13815,12.655,6.5
"Anon","MOVIE",2018,"R",100,"['scifi', 'thriller', 'action', 'drama', 'crime', 'european']","GLOBAL",6.1,42608,21.915,5.919
"The Forest","SHOW",2017,"TV-MA",52,"['drama', 'crime', 'thriller', 'european']","FR",7.2,10234,18.051,7.1
"Cable Girls","SHOW",2017,"TV-MA",46,"['drama', 'history', 'european']","ES",7.6,13855,44.083,7.9
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","MOVIE",2017,NA,94,"['documentation', 'comedy']","GLOBAL",7.6,25948,10.704,7.6
"A-X-L","MOVIE",2018,"PG-13",98,"['scifi', 'thriller', 'action', 'drama', 'family']","US",5.3,11920,32.431,6.3
"Hell Fest","MOVIE",2018,"R",88,"['horror', 'thriller']","US",5.5,16976,15.417,5.6
"Aggretsuko","SHOW",2018,"TV-14",17,"['animation', 'comedy', 'romance', 'drama', 'music']","JP",8,6195,13.244,7.2
"Malevolent","MOVIE",2018,NA,89,"['horror', 'thriller']","GB",4.8,13772,8.289,5
"Jack Whitehall: Travels with My Father","SHOW",2017,"TV-MA",48,"['reality', 'documentation', 'comedy', 'european']","GB",7.6,5482,5.014,7.4
"Two Sentence Horror Stories","SHOW",2017,"TV-14",22,"['drama', 'horror', 'thriller']","US",5.5,1900,8.441,5.6
"Dirty Money","SHOW",2018,"TV-14",63,"['documentation', 'crime']","US",8.1,9159,11.301,7.3
"Requiem","SHOW",2018,"TV-MA",58,"['drama', 'animation', 'fantasy', 'thriller']","GB",6.4,6553,11.958,6.6
"The Rain","SHOW",2018,"TV-MA",43,"['scifi', 'thriller', 'drama']","DK",7.3,616,98.788,7.415
"Sunderland 'Til I Die","SHOW",2018,"TV-MA",41,"['documentation', 'sport']","GB",8.1,8113,5.099,8
"Happy as Lazzaro","MOVIE",2018,"PG-13",125,"['fantasy', 'drama', 'european']","GLOBAL",7.5,18006,8.295,7.4
"Nailed It!","SHOW",2018,"TV-PG",33,"['reality', 'comedy']","US",7.4,4742,8.521,7.6
"My Mister","SHOW",2018,"TV-14",70,"['drama', 'family']","KR",9.1,6043,13.025,8.9
"Bakugan: Battle Planet","SHOW",2018,"TV-Y7",20,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']","JP",4.9,225,14.694,6.8
"Everybody Knows","MOVIE",2018,"R",132,"['drama', 'thriller', 'crime', 'european']","GLOBAL",6.9,34365,11.374,6.5
"Dave Chappelle","SHOW",2017,NA,66,"['comedy', 'documentation']","US",8.7,2798,4.516,7.6
"Damnation","SHOW",2017,"TV-MA",43,"['western', 'crime', 'drama']","US",7.6,8313,9.193,7
"Innocent","SHOW",2017,"TV-14",51,"['drama', 'thriller', 'crime']","TR",8.4,17727,7.297,8.1
"Great News","SHOW",2017,"TV-PG",21,"['comedy']","US",7,6810,8.665,6.5
"22 July","MOVIE",2018,"R",143,"['thriller', 'crime', 'drama', 'history', 'european']","GLOBAL",6.8,33609,33.575,7.2
"Falls Around Her","MOVIE",2018,NA,100,"['drama', 'music', 'thriller']","CA",6.3,127,1.339,7
"Better Than Us","SHOW",2018,"TV-MA",52,"['scifi', 'drama']","RU",7.3,8792,14.306,7.4
"Insatiable","SHOW",2018,"TV-MA",46,"['drama', 'comedy', 'thriller']","US",6.5,28006,81.348,7.9
"Sand Castle","MOVIE",2017,NA,113,"['war', 'action', 'drama']","GLOBAL",6.3,23158,27.077,6.5
"Zoids Wild","SHOW",2018,"TV-Y7",21,"['action', 'comedy', 'animation', 'scifi']","JP",6.2,27,11.922,NA
"Explained","SHOW",2018,"TV-MA",21,"['documentation']","US",8,9079,11.637,7.7
"Buster's Mal Heart","MOVIE",2017,NA,96,"['drama', 'thriller', 'crime']","US",6.2,10490,6.82,6.2
"The Toys That Made Us","SHOW",2017,"TV-14",45,"['documentation', 'comedy', 'history']","US",8,5651,5.924,7.7
"On Body and Soul","MOVIE",2017,NA,116,"['drama', 'romance', 'fantasy']","HU",7.5,27504,7.285,7.2
"Ben Is Back","MOVIE",2018,"R",103,"['drama', 'european']","US",6.7,21735,12.478,6.6
"Perfume","SHOW",2018,"TV-MA",58,"['crime', 'drama', 'thriller']","DE",7.1,8536,17.902,6.9
"Mr. Sunshine","SHOW",2018,"TV-MA",76,"['drama', 'history', 'romance', 'war', 'action']","KR",8.7,7054,16.097,8.516
"Private Life","MOVIE",2018,"R",123,"['comedy', 'drama']","US",7.2,19023,7.974,7
