"title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score"
"Bigger Than Africa","MOVIE",2018,NA,87,"['documentation']","GLOBAL",7,31,1.156,NA
"Lionheart","MOVIE",2018,NA,95,"['drama', 'comedy']","NG",5.6,1458,2.971,6
"Russell Brand: Re:Birth","MOVIE",2018,NA,63,"['comedy']","GB",6.5,1221,1.242,6.6
"El club de los buenos infieles","MOVIE",2018,NA,90,"['comedy', 'european']","ES",5.5,664,3.669,5.1
"Jeff Dunham: Relative Disaster","MOVIE",2017,NA,70,"['comedy']","IE",6.4,1274,3.065,6.7
"The Most Assassinated Woman in the World","MOVIE",2018,NA,102,"['thriller', 'drama', 'european']","GLOBAL",5.3,1092,4.162,5.2
"Semesta","MOVIE",2018,NA,88,"['documentation']","ID",7.3,111,1.759,8
"Stars in the Sky: A Hunting Story","MOVIE",2018,NA,69,"['documentation']","US",7.2,343,1.837,5.5
"Cook Off","MOVIE",2017,"PG",116,"['romance', 'comedy']","ZW",6,354,1.537,6.1
"Kevin James: Never Don't Give Up","MOVIE",2018,"PG",62,"['comedy']","US",6.2,1468,3.783,6.3
"Heaven Without People","MOVIE",2017,NA,91,"['drama']","LB",7.6,1253,1.401,7
"My Birthday Song","MOVIE",2018,NA,95,"['thriller']","IN",5.6,282,0.712,5.5
"Taramani","MOVIE",2017,NA,150,"['drama', 'romance']","IN",7.5,1639,2.616,6.6
"Love.com","MOVIE",2017,NA,92,"['romance', 'comedy']","BR",5.8,757,5.452,6.8
"Born Racer","MOVIE",2018,"R",88,"['action', 'drama', 'documentation']","NZ",6.1,262,1.917,7.7
"Aggretsuko: We Wish You A Metal Christmas","MOVIE",2018,NA,22,"['animation', 'comedy']","JP",NA,NA,3.852,7.5
"Manu","MOVIE",2018,NA,182,"['thriller', 'romance']","IN",7.6,1081,1.4,7
"Exes Baggage","MOVIE",2018,NA,104,"['drama', 'romance']","PH",6.4,269,2.271,8.2
"Teefa in Trouble","MOVIE",2018,"PG-13",155,"['drama', 'comedy', 'action', 'crime', 'romance']","PK",7,3659,3.176,7.6
"Up Among the Stars","MOVIE",2018,NA,86,"['drama', 'european']","ES",6.2,498,4.367,5.6
"Food on the Go","MOVIE",2017,NA,66,"['documentation', 'european']","GLOBAL",6.3,215,1.568,6
"Nigerian Prince","MOVIE",2018,NA,104,"['thriller', 'drama', 'crime']","GLOBAL",5.7,397,2.91,5.4
"Bangkok Love Stories 2: Innocence","SHOW",2018,NA,44,"['drama', 'romance']","TH",6.6,202,3.473,8.2
"Isoken","MOVIE",2017,NA,100,"['romance', 'comedy', 'drama']","NG",6.4,322,2.263,4.7
"The Judgement","SHOW",2018,NA,48,"['drama', 'crime']","TH",7.1,97,1.429,7.7
"The Lost Brother","MOVIE",2017,"R",112,"['thriller', 'crime', 'drama', 'european']","AR",6.5,1710,4.703,6.9
"Weapon of Choice","MOVIE",2018,NA,90,"['documentation', 'european']","GLOBAL",4.8,162,1.283,5.2
"Lucas Brothers: On Drugs","MOVIE",2017,NA,49,"['comedy']","US",5.7,837,2.445,5.2
"A StoryBots Christmas","MOVIE",2017,NA,25,"['animation', 'comedy', 'family', 'fantasy']","US",5.8,160,3.828,6.2
"YG Future Strategy Office","SHOW",2018,"TV-MA",26,"['comedy']","KR",6.7,209,2.519,7.1
"The Birth Reborn 2","MOVIE",2018,"PG",91,"['documentation']","BR",6.6,5,1.4,5.8
"The Doll 2","MOVIE",2017,NA,116,"['horror', 'thriller']","ID",5.1,550,5.769,5.6
"Free Rein: The Twelve Neighs of Christmas","MOVIE",2018,NA,58,"['drama', 'comedy', 'family']","US",6.6,5637,10.23,6.9
"Fishtronaut: The Movie","MOVIE",2018,"G",88,"['animation', 'action', 'family']","BR",7.5,73,6.934,8
"Freej Al Taibeen","MOVIE",2018,"PG-13",100,"['comedy', 'sport']","AE",5.8,9,0.644,2
"The Trader","MOVIE",2018,NA,23,"['documentation']","GE",NA,NA,7.621,6.7
"For Here or to Go?","MOVIE",2017,NA,105,"['comedy', 'drama']","US",6.7,628,1.398,7
